Unnamed: 0,Date,Title,URLs,Views,Is_Video,Video_ID,Video_Duration,Duration_Minutes
VM644:1 ,30/01/2024,PRE SEASON EP 1: LONDON LEGACY VS WENLOCK FC,https://www.youtube.com/watch?v=IBflicKVRbE,399.0,True,IBflicKVRbE,PT1H37M57S,97.95
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 10: LONDON LEGACY V WARREN UNITED,https://www.youtube.com/watch?v=vj7iQdi_ZRw&t=39s,1421.0,True,vj7iQdi_ZRw,PT1H35M10S,95.16666666666667
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 9: LONDON LEGACY V RIDGEWAY ROVERS - CUP QUARTER FINAL,https://www.youtube.com/watch?v=KakIB2CnKtI,611.0,True,KakIB2CnKtI,PT1H33M57S,93.95
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 8: LONDON LEGACY V EPPING FOREST FALCONS,https://www.youtube.com/watch?v=wstjxQvPRtw,418.0,True,wstjxQvPRtw,PT1H41M31S,101.51666666666667
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 7: LONDON LEGACY VS RIDGEWAY ROVERS,https://www.youtube.com/watch?v=7P4iq_TO3ZY,293.0,True,7P4iq_TO3ZY,PT1H34M23S,94.38333333333334
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 6: LONDON LEGACY VS PING CITY PHOENIXES,https://www.youtube.com/watch?v=jz1-HT_dmEo,273.0,True,jz1-HT_dmEo,PT1H45M6S,105.1
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 5: LONDON LEGACY VS ZONE 4 ATHLETIC,https://www.youtube.com/watch?v=isldLAIWDL0,499.0,True,isldLAIWDL0,PT1H33M28S,93.46666666666667
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 4: LONDON LEGACY VS WARREN UNITED,https://www.youtube.com/watch?v=Pn9O0w2TtWw,439.0,True,Pn9O0w2TtWw,PT1H32M48S,92.8
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 3: LONDON LEGACY VS HAVERING PALACE,https://www.youtube.com/watch?v=3OqmVz8f3n0,592.0,True,3OqmVz8f3n0,PT1H34M55S,94.91666666666667
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 2: LONDON LEGACY V ROYAL LIONS C,https://www.youtube.com/watch?v=xGAN0Nu6jhE,384.0,True,xGAN0Nu6jhE,PT1H39M24S,99.4
